FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.969
   C2: 12.949
   C3: 12.818
   C4: 13.443

(814) TAURIS                        13.605
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459425.55174      12.727    0.004      13.602    0.006
2459425.55384      12.712    0.004      13.606    0.006
2459425.55594      12.729    0.004      13.577    0.006
2459425.55803      12.709    0.004      13.605    0.006
2459425.56014      12.722    0.004      13.587    0.006
2459425.56223      12.703    0.004      13.577    0.006
2459425.56434      12.704    0.004      13.588    0.006
2459425.56644      12.715    0.004      13.610    0.006
2459425.56853      12.710    0.004      13.586    0.006
2459425.57064      12.708    0.004      13.583    0.006
2459425.57273      12.715    0.004      13.614    0.006
2459425.57483      12.707    0.004      13.591    0.006
2459425.57692      12.700    0.004      13.574    0.006
2459425.57903      12.700    0.004      13.561    0.006
2459425.58112      12.700    0.004      13.597    0.006
2459425.58322      12.691    0.004      13.563    0.006
2459425.58532      12.708    0.004      13.609    0.006
2459425.58742      12.693    0.004      13.581    0.006
2459425.58951      12.710    0.004      13.586    0.006
2459425.59162      12.701    0.004      13.579    0.006
2459425.59375      12.692    0.004      13.570    0.006
2459425.59584      12.690    0.004      13.551    0.006
2459425.59795      12.706    0.004      13.596    0.006
2459425.60005      12.687    0.004      13.573    0.006
2459425.60214      12.698    0.004      13.575    0.006
2459425.60425      12.695    0.004      13.588    0.006
2459425.60635      12.697    0.004      13.601    0.006
2459425.60845      12.696    0.004      13.576    0.006
2459425.61054      12.689    0.004      13.589    0.006
2459425.61265      12.697    0.004      13.591    0.006
2459425.61475      12.692    0.004      13.582    0.006
2459425.61685      12.700    0.004      13.568    0.006
2459425.61895      12.689    0.004      13.579    0.006
2459425.62104      12.687    0.004      13.579    0.006
2459425.62315      12.695    0.004      13.584    0.006
2459425.62524      12.689    0.004      13.580    0.006
2459425.62734      12.693    0.004      13.596    0.006
2459425.62943      12.699    0.004      13.585    0.006
2459425.63154      12.696    0.004      13.601    0.006
2459425.63363      12.695    0.004      13.604    0.006
2459425.63574      12.688    0.004      13.593    0.006
2459425.63784      12.688    0.004      13.600    0.006
2459425.63993      12.693    0.004      13.603    0.006
2459425.64203      12.686    0.004      13.592    0.006
2459425.64413      12.688    0.004      13.602    0.006
2459425.64623      12.689    0.004      13.593    0.006
2459425.64832      12.693    0.004      13.607    0.006
2459425.65043      12.691    0.004      13.594    0.006
2459425.65252      12.691    0.004      13.601    0.006
2459425.65462      12.687    0.004      13.598    0.006
2459425.65672      12.674    0.004      13.587    0.006
2459425.65882      12.682    0.004      13.583    0.006
2459425.66091      12.686    0.004      13.591    0.006
2459425.66301      12.681    0.004      13.604    0.006
2459425.66512      12.682    0.004      13.589    0.006
2459425.66721      12.676    0.004      13.595    0.006
2459425.66931      12.682    0.004      13.618    0.006
2459425.67141      12.684    0.004      13.606    0.006
2459425.67351      12.677    0.004      13.588    0.006
2459425.67560      12.677    0.004      13.602    0.006
2459425.67771      12.681    0.004      13.603    0.006
2459425.67980      12.683    0.004      13.621    0.006
2459425.68190      12.675    0.004      13.607    0.006
2459425.68400      12.682    0.004      13.599    0.006
2459425.68610      12.672    0.004      13.598    0.006
2459425.68819      12.677    0.004      13.587    0.006
2459425.69030      12.679    0.004      13.598    0.006
2459425.69240      12.683    0.004      13.600    0.006
2459425.69449      12.674    0.004      13.600    0.006
2459425.69659      12.680    0.004      13.594    0.005
2459425.69869      12.676    0.004      13.594    0.006
2459425.70079      12.669    0.004      13.606    0.005
2459425.70288      12.674    0.004      13.601    0.006
2459425.70499      12.680    0.004      13.595    0.006
2459425.70708      12.668    0.004      13.596    0.006
2459425.70918      12.681    0.004      13.611    0.006
2459425.71127      12.671    0.004      13.600    0.006
2459425.71338      12.667    0.004      13.599    0.006
2459425.71547      12.664    0.004      13.601    0.006
2459425.71757      12.678    0.004      13.592    0.005
2459425.71968      12.657    0.004      13.581    0.005
2459425.72177      12.669    0.004      13.592    0.006
2459425.72387      12.675    0.004      13.606    0.006
2459425.72596      12.677    0.004      13.596    0.006
2459425.72807      12.667    0.004      13.603    0.006
2459425.73016      12.672    0.004      13.607    0.006
2459425.73226      12.670    0.004      13.605    0.006
2459425.73436      12.668    0.004      13.613    0.006
2459425.73646      12.663    0.004      13.600    0.006
2459425.73855      12.661    0.004      13.607    0.006
2459425.74066      12.658    0.004      13.608    0.006
2459425.74275      12.658    0.004      13.614    0.006
2459425.74485      12.651    0.004      13.605    0.006
2459425.74694      12.665    0.004      13.606    0.006
2459425.74905      12.650    0.004      13.605    0.006
2459425.75115      12.665    0.004      13.586    0.005
2459425.75324      12.658    0.004      13.597    0.006
2459425.75534      12.664    0.004      13.606    0.006
2459425.75744      12.657    0.004      13.618    0.006
2459425.75954      12.650    0.004      13.606    0.006
2459425.76163      12.649    0.004      13.617    0.006
2459425.76374      12.656    0.004      13.612    0.006
2459425.76583      12.659    0.004      13.622    0.006
2459425.76793      12.654    0.004      13.610    0.006
2459425.77003      12.655    0.004      13.604    0.006
2459425.77213      12.650    0.004      13.608    0.006
2459425.77422      12.646    0.004      13.613    0.006
2459425.77633      12.643    0.004      13.603    0.006
2459425.77843      12.649    0.004      13.599    0.006
2459425.78052      12.648    0.004      13.602    0.006
2459426.66816      12.596    0.004      13.611    0.006
2459426.67027      12.594    0.004      13.596    0.006
2459426.67236      12.594    0.004      13.599    0.006
2459426.67447      12.583    0.004      13.590    0.006
2459426.67660      12.591    0.004      13.593    0.006
2459426.67869      12.587    0.004      13.605    0.006
2459426.68080      12.585    0.004      13.601    0.006
2459426.68289      12.589    0.004      13.591    0.006
2459426.68500      12.573    0.004      13.593    0.006
2459426.68709      12.581    0.004      13.588    0.006
2459426.68919      12.572    0.003      13.585    0.006
2459426.69130      12.575    0.004      13.593    0.006
2459426.69339      12.573    0.004      13.582    0.006
2459426.69550      12.579    0.004      13.601    0.006
2459426.69759      12.585    0.004      13.608    0.006
2459426.69969      12.568    0.003      13.585    0.006
2459426.70178      12.573    0.004      13.594    0.006
2459426.70389      12.570    0.004      13.580    0.006
2459426.70598      12.578    0.003      13.576    0.006
2459426.70808      12.581    0.003      13.592    0.006
2459426.71019      12.583    0.004      13.602    0.006
2459426.71228      12.585    0.003      13.587    0.006
2459426.71438      12.566    0.003      13.594    0.006
2459426.71647      12.583    0.004      13.597    0.006
2459426.71858      12.573    0.003      13.583    0.006
2459426.72067      12.574    0.004      13.592    0.006
2459426.72277      12.576    0.003      13.583    0.006
2459426.72487      12.585    0.003      13.596    0.006
2459426.72697      12.586    0.004      13.590    0.006
2459426.72906      12.580    0.004      13.610    0.006
2459426.73116      12.581    0.004      13.596    0.006
2459426.73326      12.582    0.003      13.605    0.006
2459426.73536      12.583    0.004      13.611    0.006
2459426.73745      12.585    0.004      13.616    0.006
2459426.73956      12.582    0.003      13.611    0.006
2459426.74166      12.593    0.004      13.606    0.006
2459426.74375      12.583    0.004      13.586    0.006
2459426.74586      12.582    0.004      13.616    0.006
2459426.74795      12.579    0.004      13.600    0.006
2459426.75005      12.593    0.004      13.589    0.006
2459426.75215      12.601    0.004      13.613    0.006
2459426.75425      12.587    0.004      13.592    0.006
2459426.75634      12.590    0.004      13.594    0.006
2459426.75845      12.596    0.004      13.617    0.006
2459426.76054      12.585    0.004      13.605    0.006
2459426.76264      12.604    0.004      13.581    0.006
2459426.76473      12.604    0.004      13.600    0.006
2459426.76683      12.595    0.004      13.587    0.006
2459426.76894      12.590    0.004      13.610    0.006
2459426.77103      12.596    0.004      13.602    0.006
2459426.77312      12.595    0.004      13.599    0.006
2459426.77523      12.602    0.004      13.598    0.006
2459426.77733      12.602    0.004      13.612    0.006

Observador: MMartini
FotoDif 3.109
