FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.99
   C2: 12.637
   C3: 12.189
   C4: 12.657
   C5: 12.596
   C6: 13.138
   C7: 12.178

(814) TAURIS                        13.245
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459432.57038      12.439    0.003      13.211    0.005
2459432.57248      12.434    0.003      13.234    0.005
2459432.57668      12.444    0.003      13.237    0.005
2459432.57878      12.439    0.003      13.229    0.005
2459432.58088      12.455    0.003      13.235    0.005
2459432.58299      12.448    0.003      13.219    0.005
2459432.58509      12.456    0.003      13.256    0.005
2459432.58719      12.442    0.003      13.225    0.005
2459432.58929      12.449    0.003      13.226    0.005
2459432.59139      12.447    0.003      13.231    0.005
2459432.59348      12.456    0.003      13.238    0.005
2459432.59558      12.446    0.003      13.217    0.005
2459432.59769      12.454    0.003      13.215    0.005
2459432.59978      12.448    0.003      13.235    0.005
2459432.60398      12.450    0.003      13.209    0.005
2459432.60608      12.457    0.003      13.224    0.005
2459432.60817      12.443    0.003      13.240    0.005
2459432.61027      12.440    0.003      13.235    0.005
2459432.61237      12.455    0.003      13.239    0.005
2459432.61447      12.449    0.003      13.229    0.005
2459432.61656      12.449    0.003      13.240    0.005
2459432.62076      12.444    0.003      13.230    0.005
2459432.62287      12.458    0.003      13.231    0.005
2459432.62497      12.447    0.003      13.260    0.005
2459432.62707      12.450    0.003      13.239    0.005
2459432.62917      12.447    0.003      13.237    0.005
2459432.63127      12.456    0.003      13.244    0.005
2459432.63337      12.449    0.003      13.257    0.005
2459432.63547      12.449    0.003      13.246    0.005
2459432.63757      12.438    0.003      13.239    0.005
2459432.63966      12.442    0.003      13.253    0.005
2459432.64176      12.443    0.003      13.229    0.005
2459432.64387      12.448    0.003      13.224    0.005
2459432.64596      12.445    0.003      13.235    0.005
2459432.64807      12.445    0.003      13.221    0.005
2459432.65016      12.441    0.003      13.242    0.005
2459432.65226      12.445    0.003      13.221    0.005
2459432.65436      12.441    0.003      13.241    0.005
2459432.65646      12.438    0.003      13.236    0.005
2459432.65856      12.435    0.003      13.231    0.005
2459432.66066      12.435    0.003      13.232    0.005
2459432.66275      12.444    0.003      13.237    0.005
2459432.66486      12.430    0.003      13.236    0.005
2459432.66696      12.436    0.003      13.226    0.005
2459432.66906      12.428    0.003      13.231    0.005
2459432.67116      12.438    0.003      13.233    0.005
2459432.67325      12.429    0.003      13.232    0.005
2459432.67536      12.435    0.003      13.239    0.005
2459432.67745      12.435    0.003      13.237    0.005
2459432.67955      12.423    0.003      13.232    0.005
2459432.68166      12.424    0.003      13.236    0.005
2459432.68375      12.427    0.003      13.238    0.005
2459432.68586      12.427    0.003      13.238    0.005
2459432.68795      12.428    0.003      13.236    0.005
2459432.69005      12.422    0.004      13.232    0.005
2459432.69214      12.425    0.003      13.245    0.005
2459432.69425      12.425    0.003      13.233    0.005
2459432.69634      12.431    0.003      13.251    0.005
2459432.69844      12.425    0.003      13.242    0.005
2459432.70054      12.422    0.003      13.225    0.005
2459432.70264      12.428    0.003      13.239    0.005
2459432.70475      12.424    0.004      13.244    0.005
2459432.70684      12.424    0.003      13.233    0.005
2459432.70894      12.425    0.003      13.242    0.005
2459432.71104      12.422    0.003      13.239    0.005
2459432.71314      12.430    0.003      13.242    0.005
2459432.71524      12.422    0.003      13.238    0.005
2459432.71734      12.418    0.003      13.236    0.005
2459432.71943      12.426    0.003      13.241    0.005
2459432.72154      12.425    0.003      13.231    0.005
2459432.72363      12.424    0.004      13.236    0.005
2459432.72574      12.428    0.003      13.244    0.005
2459432.72784      12.425    0.003      13.234    0.005
2459432.72993      12.422    0.003      13.243    0.005
2459432.73204      12.422    0.003      13.239    0.005
2459432.73413      12.416    0.003      13.231    0.005
2459432.73623      12.431    0.003      13.232    0.005
2459433.57968      12.578    0.004      13.230    0.005
2459433.58177      12.579    0.004      13.229    0.005
2459433.58389      12.581    0.004      13.225    0.005
2459433.58598      12.571    0.004      13.240    0.005
2459433.58895      12.581    0.003      13.215    0.004
2459433.59641      12.575    0.004      13.257    0.005
2459433.59852      12.585    0.004      13.252    0.005
2459433.60061      12.586    0.004      13.249    0.005
2459433.60341      12.584    0.003      13.247    0.004
2459433.60620      12.577    0.003      13.234    0.004
2459433.60900      12.575    0.003      13.234    0.004
2459433.61181      12.570    0.003      13.243    0.004
2459433.61459      12.571    0.003      13.247    0.004
2459433.61740      12.558    0.003      13.239    0.004
2459433.62019      12.555    0.003      13.220    0.004
2459433.62299      12.554    0.003      13.229    0.004
2459433.62578      12.567    0.003      13.225    0.004
2459433.62858      12.562    0.003      13.226    0.004
2459433.63140      12.557    0.003      13.221    0.004
2459433.63557      12.566    0.003      13.235    0.004
2459433.63837      12.552    0.003      13.210    0.004
2459433.64116      12.565    0.003      13.208    0.004
2459433.64396      12.567    0.003      13.199    0.004
2459433.64676      12.553    0.003      13.213    0.005
2459433.64956      12.555    0.003      13.241    0.005
2459433.65235      12.553    0.003      13.231    0.005
2459433.65515      12.563    0.003      13.236    0.005
2459433.65794      12.562    0.003      13.215    0.004
2459433.66074      12.550    0.003      13.229    0.005
2459433.66353      12.559    0.003      13.227    0.005
2459433.66632      12.550    0.003      13.236    0.005
2459433.66912      12.551    0.003      13.233    0.005
2459433.67191      12.564    0.003      13.216    0.004
2459433.67750      12.565    0.003      13.242    0.005
2459433.68029      12.557    0.003      13.235    0.005
2459433.68309      12.552    0.003      13.239    0.005
2459433.68588      12.562    0.003      13.239    0.005
2459433.68867      12.565    0.003      13.235    0.005
2459433.69147      12.553    0.003      13.258    0.005
2459433.69426      12.557    0.003      13.235    0.005
2459433.69705      12.544    0.003      13.226    0.005
2459433.69985      12.545    0.003      13.241    0.005
2459433.70264      12.548    0.003      13.250    0.005
2459433.70543      12.546    0.003      13.247    0.005
2459433.70823      12.547    0.003      13.245    0.005
2459433.71102      12.551    0.003      13.242    0.005
2459433.71381      12.541    0.003      13.247    0.005
2459433.71661      12.534    0.003      13.250    0.005
2459433.71940      12.529    0.003      13.242    0.005
2459433.72219      12.527    0.003      13.234    0.005
2459433.72499      12.541    0.003      13.222    0.005
2459433.72778      12.531    0.003      13.241    0.005
2459433.73057      12.535    0.003      13.234    0.005
2459433.73337      12.530    0.003      13.240    0.005
2459433.73616      12.519    0.003      13.236    0.005
2459433.73895      12.533    0.003      13.217    0.005
2459433.74175      12.520    0.003      13.238    0.005
2459433.74454      12.520    0.003      13.232    0.005
2459433.74733      12.523    0.003      13.233    0.005
2459433.75013      12.522    0.003      13.229    0.005
2459433.75292      12.518    0.003      13.202    0.005

Observador: MMartini
FotoDif 3.109
