FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.505
   C2: 12.91
   C3: 12.684
   C4: 12.877
   C5: 12.358

(814) TAURIS                        13.13
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459453.47704      12.471    0.004      13.126    0.005
2459453.47912      12.465    0.004      13.141    0.005
2459453.48123      12.462    0.004      13.129    0.005
2459453.48332      12.448    0.004      13.127    0.005
2459453.48542      12.450    0.004      13.132    0.005
2459453.48752      12.450    0.004      13.139    0.005
2459453.48962      12.433    0.004      13.124    0.005
2459453.49171      12.452    0.004      13.132    0.005
2459453.49382      12.447    0.004      13.126    0.005
2459453.49591      12.442    0.004      13.133    0.005
2459453.49802      12.453    0.004      13.131    0.005
2459453.50012      12.455    0.004      13.126    0.005
2459453.50222      12.439    0.004      13.117    0.005
2459453.50432      12.439    0.004      13.122    0.005
2459453.50642      12.437    0.004      13.140    0.005
2459453.50852      12.446    0.004      13.148    0.005
2459453.51061      12.437    0.004      13.120    0.005
2459453.51272      12.445    0.003      13.141    0.005
2459453.51481      12.443    0.004      13.126    0.005
2459453.51691      12.451    0.004      13.123    0.005
2459453.51902      12.448    0.004      13.121    0.005
2459453.52111      12.437    0.003      13.133    0.005
2459453.52323      12.440    0.003      13.122    0.005
2459453.52532      12.440    0.003      13.133    0.005
2459453.52743      12.444    0.003      13.126    0.005
2459453.52953      12.447    0.004      13.132    0.005
2459453.53163      12.431    0.004      13.128    0.005
2459453.53373      12.430    0.004      13.135    0.005
2459453.53582      12.445    0.004      13.153    0.005
2459453.53793      12.440    0.004      13.119    0.005
2459453.54002      12.432    0.004      13.124    0.005
2459453.54212      12.432    0.004      13.144    0.005
2459453.54422      12.445    0.004      13.139    0.005
2459453.54632      12.443    0.004      13.133    0.005
2459453.54841      12.444    0.004      13.137    0.005
2459453.55052      12.444    0.003      13.134    0.005
2459453.55262      12.430    0.003      13.119    0.005
2459453.55471      12.434    0.003      13.133    0.005
2459453.55682      12.436    0.003      13.133    0.005
2459453.55891      12.432    0.003      13.122    0.005
2459453.56102      12.438    0.003      13.120    0.005
2459453.56311      12.434    0.003      13.125    0.005
2459453.56521      12.430    0.003      13.108    0.005
2459453.56731      12.437    0.003      13.142    0.005
2459453.56941      12.440    0.003      13.125    0.005
2459453.57150      12.430    0.003      13.115    0.005
2459453.57361      12.439    0.003      13.122    0.005
2459453.57572      12.437    0.003      13.127    0.005
2459453.57781      12.437    0.003      13.118    0.005
2459453.57992      12.427    0.003      13.130    0.005
2459453.58201      12.441    0.003      13.125    0.005
2459453.58412      12.436    0.003      13.131    0.005
2459453.58622      12.431    0.003      13.125    0.005
2459453.58832      12.437    0.003      13.132    0.005
2459453.59042      12.442    0.003      13.125    0.005
2459453.59251      12.441    0.003      13.126    0.005
2459453.59462      12.440    0.003      13.119    0.005
2459453.59671      12.443    0.003      13.116    0.005
2459453.59890      12.432    0.003      13.120    0.005
2459453.60101      12.437    0.003      13.112    0.005
2459453.60310      12.444    0.003      13.119    0.005
2459453.60521      12.432    0.003      13.113    0.005
2459453.60730      12.441    0.003      13.123    0.005
2459453.60941      12.444    0.003      13.101    0.005
2459453.61150      12.438    0.003      13.113    0.005
2459453.61361      12.431    0.003      13.108    0.005
2459453.61572      12.443    0.003      13.111    0.005
2459453.61782      12.452    0.003      13.123    0.005
2459453.61993      12.444    0.003      13.109    0.005
2459453.62203      12.440    0.003      13.128    0.005
2459453.62412      12.441    0.003      13.104    0.005
2459453.62623      12.448    0.003      13.104    0.005
2459453.62833      12.438    0.003      13.121    0.005
2459453.63043      12.444    0.003      13.114    0.005
2459453.63253      12.446    0.003      13.115    0.005
2459453.63463      12.446    0.003      13.122    0.005
2459453.63674      12.435    0.003      13.112    0.005
2459453.63883      12.446    0.003      13.125    0.005
2459453.64094      12.445    0.003      13.104    0.005
2459453.64303      12.451    0.003      13.130    0.005
2459453.64514      12.441    0.003      13.112    0.005
2459453.64723      12.450    0.003      13.111    0.005
2459453.64933      12.442    0.003      13.108    0.005
2459453.65144      12.446    0.003      13.122    0.005
2459453.65353      12.447    0.003      13.102    0.005
2459453.65564      12.435    0.004      13.113    0.005
2459453.65773      12.441    0.004      13.127    0.005
2459453.65983      12.438    0.004      13.113    0.005
2459453.66193      12.447    0.004      13.124    0.005
2459453.66403      12.447    0.004      13.123    0.005
2459453.66613      12.441    0.004      13.123    0.005
2459453.66823      12.439    0.004      13.119    0.005
2459453.67034      12.438    0.004      13.102    0.005
2459453.67243      12.455    0.004      13.113    0.005
2459453.67454      12.436    0.004      13.104    0.005
2459453.67663      12.438    0.004      13.125    0.005
2459453.67874      12.428    0.004      13.127    0.005
2459453.68083      12.436    0.004      13.127    0.005

Observador: MMartini
FotoDif 3.109
