datetime_jd V
2459420.5 12.705
2459421.5 12.688
2459422.5 12.671
2459423.5 12.656
2459424.5 12.64
2459425.5 12.626
2459426.5 12.612
2459427.5 12.599
2459428.5 12.586
2459429.5 12.574
2459430.5 12.564
2459431.5 12.553
2459432.5 12.544
2459433.5 12.536
2459434.5 12.529
2459435.5 12.522
2459436.5 12.517
2459437.5 12.512
2459438.5 12.508
2459439.5 12.505
2459440.5 12.504
2459441.5 12.503
2459442.5 12.502
2459443.5 12.503
2459444.5 12.505
2459445.5 12.507
2459446.5 12.51
2459447.5 12.514
2459448.5 12.518
2459449.5 12.523
2459450.5 12.529
2459451.5 12.535
2459452.5 12.542
2459453.5 12.549
2459454.5 12.557
2459455.5 12.565
2459456.5 12.574
2459457.5 12.583
2459458.5 12.592
