datetime_jd V
2459425.55174 12.625
2459425.55384 12.625
2459425.55594 12.625
2459425.55803 12.625
2459425.56014 12.625
2459425.56223 12.625
2459425.56434 12.625
2459425.56644 12.625
2459425.56853 12.625
2459425.57064 12.625
2459425.57273 12.625
2459425.57483 12.625
2459425.57692 12.625
2459425.57903 12.625
2459425.58112 12.625
2459425.58322 12.625
2459425.58532 12.625
2459425.58742 12.625
2459425.58951 12.624
2459425.59162 12.624
2459425.59375 12.624
2459425.59584 12.624
2459425.59795 12.624
2459425.60005 12.624
2459425.60214 12.624
2459425.60425 12.624
2459425.60635 12.624
2459425.60845 12.624
2459425.61054 12.624
2459425.61265 12.624
2459425.61475 12.624
2459425.61685 12.624
2459425.61895 12.624
2459425.62104 12.624
2459425.62315 12.624
2459425.62524 12.624
2459425.62734 12.624
2459425.62943 12.624
2459425.63154 12.624
2459425.63363 12.624
2459425.63574 12.624
2459425.63784 12.624
2459425.63993 12.624
2459425.64203 12.624
2459425.64413 12.624
2459425.64623 12.624
2459425.64832 12.624
2459425.65043 12.624
2459425.65252 12.624
2459425.65462 12.624
2459425.65672 12.624
2459425.65882 12.624
2459425.66091 12.623
2459425.66301 12.623
2459425.66512 12.623
2459425.66721 12.623
2459425.66931 12.623
2459425.67141 12.623
2459425.67351 12.623
2459425.6756 12.623
2459425.67771 12.623
2459425.6798 12.623
2459425.6819 12.623
2459425.684 12.623
2459425.6861 12.623
2459425.68819 12.623
2459425.6903 12.623
2459425.6924 12.623
2459425.69449 12.623
2459425.69659 12.623
2459425.69869 12.623
2459425.70079 12.623
2459425.70288 12.623
2459425.70499 12.623
2459425.70708 12.623
2459425.70918 12.623
2459425.71127 12.623
2459425.71338 12.623
2459425.71547 12.623
2459425.71757 12.623
2459425.71968 12.623
2459425.72177 12.623
2459425.72387 12.623
2459425.72596 12.623
2459425.72807 12.623
2459425.73016 12.622
2459425.73226 12.622
2459425.73436 12.622
2459425.73646 12.622
2459425.73855 12.622
2459425.74066 12.622
2459425.74275 12.622
2459425.74485 12.622
2459425.74694 12.622
2459425.74905 12.622
2459425.75115 12.622
2459425.75324 12.622
2459425.75534 12.622
2459425.75744 12.622
2459425.75954 12.622
2459425.76163 12.622
2459425.76374 12.622
2459425.76583 12.622
2459425.76793 12.622
2459425.77003 12.622
2459425.77213 12.622
2459425.77422 12.622
2459425.77633 12.622
2459425.77843 12.622
2459425.78052 12.622
2459426.66816 12.61
2459426.67027 12.61
2459426.67236 12.609
2459426.67447 12.609
2459426.6766 12.609
2459426.67869 12.609
2459426.6808 12.609
2459426.68289 12.609
2459426.685 12.609
2459426.68709 12.609
2459426.68919 12.609
2459426.6913 12.609
2459426.69339 12.609
2459426.6955 12.609
2459426.69759 12.609
2459426.69969 12.609
2459426.70178 12.609
2459426.70389 12.609
2459426.70598 12.609
2459426.70808 12.609
2459426.71019 12.609
2459426.71228 12.609
2459426.71438 12.609
2459426.71647 12.609
2459426.71858 12.609
2459426.72067 12.609
2459426.72277 12.609
2459426.72487 12.609
2459426.72697 12.609
2459426.72906 12.609
2459426.73116 12.609
2459426.73326 12.609
2459426.73536 12.609
2459426.73745 12.609
2459426.73956 12.609
2459426.74166 12.609
2459426.74375 12.609
2459426.74586 12.609
2459426.74795 12.608
2459426.75005 12.608
2459426.75215 12.608
2459426.75425 12.608
2459426.75634 12.608
2459426.75845 12.608
2459426.76054 12.608
2459426.76264 12.608
2459426.76473 12.608
2459426.76683 12.608
2459426.76894 12.608
2459426.77103 12.608
2459426.77312 12.608
2459426.77523 12.608
2459426.77733 12.608
