datetime_jd V
2459440.68531 12.503
2459440.68881 12.503
2459440.69229 12.503
2459440.69579 12.503
2459440.69927 12.503
2459440.70277 12.503
2459440.70625 12.503
2459440.70975 12.503
2459440.71323 12.503
2459440.71671 12.503
2459440.72021 12.503
2459440.72369 12.503
2459440.72718 12.503
2459440.73067 12.503
2459440.73416 12.503
2459440.73765 12.503
2459440.74113 12.503
2459440.74463 12.503
2459440.74811 12.503
2459440.7516 12.503
2459440.75509 12.503
2459440.75858 12.503
2459440.76207 12.503
2459440.76556 12.503
2459440.76905 12.503
2459440.77253 12.503
2459440.77602 12.503
2459440.77951 12.503
2459440.783 12.503
2459440.78649 12.503
2459440.78998 12.503
2459440.79346 12.503
2459440.79696 12.503
2459440.80044 12.503
2459440.80394 12.503
2459440.80742 12.503
2459440.81091 12.503
2459440.8144 12.503
2459440.81788 12.503
2459440.82138 12.503
