datetime_jd V
2459453.68625 12.551
2459453.68905 12.551
2459453.69184 12.551
2459453.69464 12.551
2459453.69744 12.551
2459453.70024 12.551
2459453.70303 12.551
2459453.70583 12.551
2459453.70863 12.551
2459453.71144 12.551
2459453.71424 12.551
2459453.71703 12.551
2459453.71983 12.551
2459453.72263 12.551
2459453.72543 12.551
2459453.72822 12.551
2459453.73102 12.551
2459453.73382 12.551
2459453.73662 12.551
2459453.73941 12.551
2459453.74221 12.551
2459453.74501 12.551
2459453.74781 12.551
2459453.75061 12.551
2459453.7534 12.551
2459453.7562 12.551
